epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.877,0.96956,2.32066,1.26315,0.37584,0.43222,0.29974,0.21547,1.10937,2.45948,1.57757,0.00033232,0.00033232,0.0671003
2,450.689,0.97536,1.89036,1.27748,0.3694,0.52397,0.38603,0.27071,1.11476,2.2065,1.57882,0.000632704,0.000632704,0.0340674
3,677.512,0.93717,1.76177,1.24515,0.34389,0.56898,0.46628,0.33956,1.10413,1.77983,1.51538,0.000900087,0.000900087,0.0010014
4,901.958,0.90462,1.61316,1.22187,0.47508,0.63011,0.5887,0.45541,0.88513,1.43084,1.35512,0.0008515,0.0008515,0.0008515
5,1130.99,0.84212,1.46718,1.18768,0.49462,0.67537,0.61175,0.48551,0.84389,1.3551,1.30794,0.000802,0.000802,0.000802
6,1363.23,0.80036,1.35595,1.15969,0.54103,0.65587,0.63993,0.51617,0.82669,1.28942,1.297,0.0007525,0.0007525,0.0007525
7,1590.43,0.77761,1.26365,1.14357,0.64653,0.72326,0.7418,0.60764,0.77552,1.16749,1.25712,0.000703,0.000703,0.000703
8,1818.57,0.75677,1.17989,1.12883,0.7259,0.72478,0.77236,0.63265,0.75242,1.05792,1.22531,0.0006535,0.0006535,0.0006535
9,2045.01,0.74181,1.08427,1.11922,0.72271,0.76276,0.79503,0.65728,0.72293,0.90937,1.20479,0.000604,0.000604,0.000604
10,2270.99,0.70665,1.00881,1.09593,0.73724,0.76807,0.8217,0.68494,0.71556,0.87626,1.20043,0.0005545,0.0005545,0.0005545
11,2502.19,0.67145,0.74291,1.10296,0.76777,0.77116,0.8218,0.69016,0.68143,0.83376,1.16736,0.000505,0.000505,0.000505
12,2729.88,0.63542,0.66828,1.07059,0.75821,0.80666,0.84984,0.71701,0.64823,0.79657,1.13473,0.0004555,0.0004555,0.0004555
13,2959.87,0.62674,0.62807,1.06309,0.80999,0.80839,0.85767,0.7285,0.6381,0.74856,1.1267,0.000406,0.000406,0.000406
14,3185.17,0.61071,0.56995,1.0481,0.82358,0.82881,0.86381,0.73193,0.63449,0.69591,1.13036,0.0003565,0.0003565,0.0003565
15,3409.13,0.59781,0.54281,1.04225,0.82741,0.80269,0.86908,0.73623,0.63321,0.71724,1.11613,0.000307,0.000307,0.000307
16,3633.54,0.57125,0.5016,1.02392,0.83063,0.84825,0.87505,0.74682,0.60542,0.67175,1.10171,0.0002575,0.0002575,0.0002575
17,3863.54,0.55593,0.47088,1.01418,0.86494,0.838,0.89251,0.764,0.59591,0.65674,1.09569,0.000208,0.000208,0.000208
18,4093.14,0.54297,0.44116,1.00339,0.85886,0.84915,0.89692,0.7713,0.58046,0.60885,1.08188,0.0001585,0.0001585,0.0001585
19,4319.98,0.52935,0.42117,0.99131,0.89135,0.83338,0.90134,0.77919,0.57447,0.60541,1.07884,0.000109,0.000109,0.000109
20,4548.6,0.50945,0.39469,0.97774,0.87548,0.85378,0.90272,0.78539,0.55013,0.5972,1.05838,5.95e-05,5.95e-05,5.95e-05
