epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.59,1.00088,2.85441,1.28293,0.26253,0.37058,0.17773,0.12687,1.23246,3.21993,1.67869,0.00033232,0.00033232,0.0671003
2,200.812,0.93197,2.06374,1.23167,0.22994,0.51089,0.28123,0.18217,1.16405,2.45019,1.64647,0.000643687,0.000643687,0.0340783
3,295.529,0.8973,1.87702,1.20465,0.34721,0.53581,0.40474,0.309,0.9953,1.92603,1.44178,0.000933054,0.000933054,0.00103437
4,390.679,0.87285,1.73744,1.18138,0.3349,0.51798,0.40622,0.30412,1.01203,1.84916,1.47636,0.000901,0.000901,0.000901
5,485.424,0.82546,1.63472,1.16118,0.51436,0.56739,0.48958,0.37805,0.88335,1.56746,1.32761,0.000868,0.000868,0.000868
6,580.925,0.80771,1.5407,1.15014,0.52802,0.58691,0.56706,0.44336,0.8634,1.51058,1.31413,0.000835,0.000835,0.000835
7,676.538,0.79231,1.46971,1.13194,0.5429,0.62936,0.62651,0.49938,0.81728,1.3268,1.2671,0.000802,0.000802,0.000802
8,771.148,0.76508,1.35703,1.11928,0.63479,0.62442,0.6677,0.54718,0.80789,1.45556,1.26097,0.000769,0.000769,0.000769
9,867.809,0.75321,1.25844,1.11063,0.77194,0.68875,0.7649,0.62975,0.79582,1.1244,1.25302,0.000736,0.000736,0.000736
10,964.487,0.72642,1.15787,1.09455,0.78253,0.65783,0.76637,0.62795,0.77123,1.06296,1.23189,0.000703,0.000703,0.000703
11,1059.74,0.71739,1.11912,1.09071,0.765,0.71061,0.77397,0.64436,0.75642,1.03141,1.21544,0.00067,0.00067,0.00067
12,1155.61,0.71446,1.08379,1.08779,0.83976,0.70934,0.81668,0.67949,0.76124,0.98082,1.2154,0.000637,0.000637,0.000637
13,1252.25,0.69987,1.0249,1.07588,0.74542,0.76778,0.81477,0.68134,0.7212,0.9952,1.18732,0.000604,0.000604,0.000604
14,1347.32,0.70581,0.99302,1.07757,0.79654,0.77342,0.84535,0.70694,0.72363,0.87907,1.18725,0.000571,0.000571,0.000571
15,1442.86,0.68085,0.95416,1.06982,0.77752,0.78581,0.83924,0.70252,0.72378,0.88856,1.18534,0.000538,0.000538,0.000538
16,1537.21,0.67032,0.92402,1.05511,0.76407,0.79051,0.83893,0.70739,0.72217,0.88672,1.19349,0.000505,0.000505,0.000505
17,1630.75,0.65343,0.90313,1.05656,0.8038,0.80066,0.84952,0.7117,0.68922,0.82328,1.15219,0.000472,0.000472,0.000472
18,1723.96,0.65368,0.88893,1.05112,0.83305,0.78642,0.85197,0.7186,0.70169,0.81929,1.17156,0.000439,0.000439,0.000439
19,1816.32,0.64437,0.86318,1.04631,0.82661,0.81333,0.86564,0.72856,0.69916,0.79106,1.1727,0.000406,0.000406,0.000406
20,1909.86,0.63726,0.83731,1.037,0.81996,0.8285,0.87166,0.7335,0.68247,0.77233,1.15263,0.000373,0.000373,0.000373
21,2000.12,0.6027,0.59551,1.03044,0.81814,0.81951,0.87489,0.7366,0.68429,0.73535,1.15771,0.00034,0.00034,0.00034
22,2087.65,0.58256,0.5611,1.01352,0.83562,0.82775,0.88204,0.75509,0.64226,0.73498,1.11587,0.000307,0.000307,0.000307
23,2175,0.57492,0.52018,1.00634,0.85035,0.81749,0.8726,0.74839,0.61818,0.7319,1.09763,0.000274,0.000274,0.000274
24,2261.84,0.56047,0.50824,0.9937,0.84905,0.82735,0.88333,0.75798,0.61199,0.71152,1.08581,0.000241,0.000241,0.000241
25,2349.21,0.55499,0.48804,0.99043,0.86254,0.83098,0.88934,0.76081,0.6144,0.67465,1.09206,0.000208,0.000208,0.000208
26,2435.74,0.54924,0.46589,0.98454,0.86725,0.82601,0.89546,0.7736,0.59016,0.6738,1.07236,0.000175,0.000175,0.000175
27,2523.1,0.53413,0.45272,0.97933,0.8659,0.82308,0.889,0.76522,0.59404,0.6771,1.06939,0.000142,0.000142,0.000142
28,2610.95,0.52634,0.43631,0.96666,0.86199,0.84382,0.89465,0.77717,0.57583,0.64803,1.06297,0.000109,0.000109,0.000109
29,2697.89,0.51785,0.42559,0.96479,0.88177,0.83992,0.8966,0.77708,0.58046,0.64674,1.06458,7.6e-05,7.6e-05,7.6e-05
30,2785.42,0.51579,0.41633,0.96329,0.85709,0.86237,0.90039,0.7825,0.57265,0.62475,1.06051,4.3e-05,4.3e-05,4.3e-05
