epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.307,0.97219,2.53845,1.2646,0.35285,0.4205,0.3258,0.23903,1.03258,2.16279,1.49424,0.00033232,0.00033232,0.0671003
2,239.748,0.91768,1.85321,1.23481,0.58145,0.42611,0.42878,0.30457,1.05207,1.87485,1.53277,0.000643687,0.000643687,0.0340783
3,356.546,0.90715,1.75883,1.21949,0.45029,0.55362,0.4607,0.35168,0.97164,1.70573,1.42429,0.000933054,0.000933054,0.00103437
4,473.197,0.88786,1.58792,1.20112,0.45551,0.56208,0.52957,0.40468,1.0387,1.66367,1.48418,0.000901,0.000901,0.000901
5,588.808,0.82681,1.45135,1.17196,0.56284,0.67786,0.64797,0.52019,0.8239,1.28561,1.29657,0.000868,0.000868,0.000868
6,705.111,0.79925,1.32031,1.15405,0.70991,0.68945,0.7335,0.5941,0.80622,1.14992,1.27696,0.000835,0.000835,0.000835
7,821.005,0.77219,1.20065,1.12993,0.6776,0.7249,0.74773,0.61249,0.81692,1.14761,1.2876,0.000802,0.000802,0.000802
8,936.459,0.76193,1.1303,1.12425,0.76393,0.73537,0.79281,0.6499,0.79001,1.01218,1.26742,0.000769,0.000769,0.000769
9,1051.91,0.74125,1.0592,1.11373,0.78602,0.72163,0.79946,0.6589,0.78228,0.97881,1.25868,0.000736,0.000736,0.000736
10,1167.08,0.7161,0.99257,1.09505,0.80978,0.74333,0.82296,0.67865,0.75334,0.91097,1.22294,0.000703,0.000703,0.000703
11,1282.68,0.70258,0.9746,1.08877,0.78494,0.76941,0.8341,0.69313,0.7734,0.87883,1.24664,0.00067,0.00067,0.00067
12,1398.31,0.69377,0.93572,1.08353,0.77311,0.80451,0.84614,0.70505,0.71707,0.83964,1.1939,0.000637,0.000637,0.000637
13,1513.84,0.68302,0.89787,1.07492,0.81415,0.80937,0.85384,0.71223,0.73348,0.82143,1.21263,0.000604,0.000604,0.000604
14,1628.83,0.68317,0.86971,1.07397,0.82364,0.79066,0.85841,0.71816,0.70121,0.79444,1.18856,0.000571,0.000571,0.000571
15,1744.2,0.66545,0.83481,1.06854,0.82765,0.81025,0.86456,0.73026,0.70402,0.75688,1.18674,0.000538,0.000538,0.000538
16,1859.54,0.64854,0.78712,1.05105,0.82038,0.80657,0.86553,0.73131,0.70305,0.73949,1.19728,0.000505,0.000505,0.000505
17,1974.46,0.63825,0.78367,1.05469,0.84421,0.81046,0.8758,0.7424,0.66786,0.72968,1.15278,0.000472,0.000472,0.000472
18,2089.23,0.6349,0.77964,1.04705,0.84903,0.83541,0.88469,0.74901,0.65925,0.69329,1.14924,0.000439,0.000439,0.000439
19,2203.98,0.62952,0.75335,1.04405,0.88418,0.82007,0.895,0.76187,0.66208,0.6793,1.15365,0.000406,0.000406,0.000406
20,2319.15,0.61485,0.73234,1.03185,0.83792,0.84688,0.88961,0.75788,0.64389,0.67695,1.1337,0.000373,0.000373,0.000373
21,2433.31,0.58125,0.50352,1.02536,0.88874,0.82479,0.89097,0.75342,0.6473,0.67794,1.13356,0.00034,0.00034,0.00034
22,2545.02,0.57043,0.47581,1.01261,0.85435,0.84578,0.89444,0.76991,0.6154,0.65755,1.1106,0.000307,0.000307,0.000307
23,2657.58,0.56382,0.44365,1.007,0.8691,0.8351,0.89192,0.7695,0.6031,0.67332,1.0999,0.000274,0.000274,0.000274
24,2769.91,0.54371,0.42686,0.98966,0.86174,0.84215,0.89644,0.77697,0.58863,0.68471,1.08737,0.000241,0.000241,0.000241
25,2882.79,0.53398,0.40954,0.98652,0.86751,0.8499,0.89947,0.7785,0.59434,0.6289,1.09163,0.000208,0.000208,0.000208
26,2995.75,0.53044,0.3904,0.9826,0.9019,0.84049,0.90777,0.78443,0.57771,0.59674,1.07487,0.000175,0.000175,0.000175
27,3108.03,0.51297,0.37175,0.97433,0.89201,0.85211,0.90747,0.79151,0.56604,0.60134,1.06808,0.000142,0.000142,0.000142
28,3220.74,0.50416,0.34836,0.963,0.88014,0.87161,0.91457,0.79914,0.56295,0.58663,1.06347,0.000109,0.000109,0.000109
29,3333.3,0.49777,0.34211,0.96023,0.8836,0.87169,0.91243,0.79782,0.55371,0.59405,1.05904,7.6e-05,7.6e-05,7.6e-05
30,3445.89,0.49194,0.33091,0.95965,0.89479,0.86367,0.91472,0.80436,0.54778,0.56926,1.05354,4.3e-05,4.3e-05,4.3e-05
